plo
PLO18	    สังเคราะห์สารสนเทศเชิงลึกสำหรับสนับสนุนการตัดสินใจ
PLO19	    ประเมินเพื่อเลือกใช้ความรู้ทางวิทยาการข้อมูลสำหรับแก้ปัญหาการตัดสินใจทางธุรกิจ"
"PLO1        ใช้องค์ความรู้ทางเทคโนโลยีสารสนเทศ เพื่อพัฒนาวิธีการในการแก้ปัญหา และทดสอบวิธีการที่พัฒนาขึ้น
PLO2        ให้ความคิดเห็น หรือดำเนินโครงการด้านเทคโนโลยีสารสนเทศ โดยใช้องค์ความรู้โดยรวม
PLO3        ดำเนินการวิจัยเพื่อสร้างสรรค์นวัตกรรมดิจิทัล หรือบูรณาการความรู้ เพื่อพัฒนางานในสาขาเทคโนโลยีสารสนเทศ
PLO4        ถ่ายทอดองค์ความรู้โดยใช้ภาษาไทยและภาษาอังกฤษได้อย่างถูกต้องและเหมาะกับระดับผู้ฟัง
PLO5        ดำเนินการวิจัย หรือพัฒนาผลงานโดยไม่คัดลอกผลงานผู้อื่น และไม่ละเมิดกฎหมายด้านเทคโนโลยีสารสนเทศหรือจริยธรรมทาง"
"PLO1        เปรียบเทียบวิธีการทางเทคโนโลยีสารสนเทศ เพื่อนำไปสู่ขั้นตอนของการนำไปใช้
PLO2        ใช้องค์ความรู้ทางเทคโนโลยีสารสนเทศ เพื่อประเมินวิธีการแก้ปัญหา หรือพัฒนาทฤษฎีที่เกี่ยวข้องกับเทคโนโลยีสารสนเทศ และทดสอบวิธีการที่พัฒนาขึ้น
PLO3        ประเมินผลการดำเนินงานโครงการโดยใช้องค์ความรู้ทางด้านเทคโนโลยีสารสนเทศ
PLO4        สร้างสรรค์นวัตกรรมดิจิทัล หรือบูรณาการงานวิจัยเพื่อพัฒนางานในสาขาเทคโนโลยีสารสนเทศ
PLO5        อ่านรายงานการวิจัยภาษาอังกฤษ เพื่อจับใจความสำคัญของวิธีการทดลอง และผลการทดลอง และนำเสนอผลงานวิจัยเป็นภาษาอังกฤษ
PLO6        สร้างสรรค์ผลงานโดยไม่คัดลอกผลงานของผู้อื่น และปฏิบัติตามกฎหมายด้านเทคโนโลยีสารสนเทศ "
